Date,DE,ES,BE,CH,UK,NL,FR,IE,PT,IT
2035-05-15,16.564125,17.10150833333333,19.005054166666667,13.640367499999998,12.622550833333333,17.754749999999998,18.078024583333335,9.572055,14.087350416666666,17.744315707903514
2035-05-16,17.33452958333333,12.804617499999999,18.49374583333333,12.067309583333333,12.986531666666666,18.4499575,17.388770416666667,9.136166666666666,12.716741666666666,16.946781043382778
2035-05-17,18.0262125,12.086372916666667,17.10710166666667,11.389696666666666,12.694665416666666,18.090895,15.551531666666667,9.55119125,13.212232499999999,16.6726343045417
2035-05-18,16.0866975,11.585590416666667,16.62257,11.431789166666666,11.818965,16.696816666666667,13.437928333333334,13.231999583333334,13.844827083333334,16.36026090624366
2035-05-19,16.46433125,12.577010416666667,14.823811666666666,9.4972,11.193654583333334,15.695565416666668,11.911544583333333,12.3713525,14.632262916666667,15.198005339386597
2035-05-20,15.255585416666667,14.592129166666666,12.495029583333334,9.00768,11.032045416666667,14.450607916666668,12.527423333333333,11.533295,15.6144175,15.740163452101696
2035-05-21,15.086735416666668,17.206885833333335,13.700476666666667,10.013390416666667,11.249465,14.064465,14.655745416666667,10.389484583333333,16.07625416666667,16.324601365281186
2035-05-22,16.09088125,17.426411666666667,15.86393375,11.659166666666666,11.267650416666667,16.032269583333335,15.720492083333333,10.616402083333332,15.098686666666666,18.25278272205664
2035-05-23,17.27757125,16.18836,16.6759325,11.985572499999998,11.413378333333334,17.5073775,16.048035833333333,10.460482916666667,14.148505,19.10998564626288
2035-05-24,17.81399875,14.093739166666666,16.815225,12.171819583333333,11.697560000000001,17.601815416666668,14.59274625,11.584119583333333,14.17398375,19.208748523553854
2035-05-25,17.664400416666666,13.696350416666666,14.804000416666668,8.507423333333334,12.665339583333333,17.66752125,12.438753750000002,13.839031666666665,13.820965416666667,16.771888644067644
2035-05-26,14.844528333333335,14.806968750000001,14.56727,7.999665,14.326280416666668,17.055015416666667,12.742252916666667,16.76343125,15.271822499999999,15.168852998558153
2035-05-27,14.637592916666668,17.273778333333333,17.2764175,9.70911625,15.118723333333334,17.971654166666667,15.409230833333334,16.95183666666667,17.66584625,16.11736403228824
2035-05-28,15.487064166666668,18.345109583333333,15.774776666666668,10.566572083333334,13.916205,16.21603625,16.8663,16.80957,20.190174583333334,16.780395158968762
2035-05-29,16.097731666666665,19.63524125,15.988376250000002,10.298274166666667,13.4031225,16.61668583333333,16.811785416666666,16.447816666666668,21.100910416666668,17.67434755098626
2035-05-30,15.857236666666667,20.46893875,16.10581375,10.588937083333333,13.728597916666667,13.171760416666666,17.728202083333333,16.040340833333335,21.094842916666668,18.77397132627551
2035-05-31,16.453982916666668,19.76680125,16.574222916666667,12.759854166666669,14.242134583333334,14.331290000000001,18.195390416666665,16.369482916666666,17.722440416666668,19.969166908991888
2035-06-01,15.818722083333334,17.03542375,16.815987500000002,11.53712875,13.723032083333335,15.677446666666667,17.0510375,16.416219583333334,14.657843333333332,18.340371032055117
2035-06-02,15.870032083333333,16.39176708333333,15.868889583333333,11.058190833333333,13.885511666666666,17.162735416666667,15.920490833333332,16.81516291666667,15.156029583333334,18.78089693882636
2035-06-03,16.120497083333333,16.293930833333334,15.738096666666666,10.939055833333333,13.37954875,16.1901875,15.223335416666666,15.6435775,14.5426375,19.64840309908902
2035-06-04,15.527567499999998,15.072430416666668,14.564198333333332,10.4341325,13.732959166666667,15.17394375,14.83012,15.304510416666666,14.313328749999998,20.087028748076808
2035-06-05,15.685526666666666,14.978731666666667,14.456379583333332,9.637409166666666,13.494561249999999,14.973059166666667,14.213423749999999,15.538807916666668,14.560842916666667,18.04345286776392
2035-06-06,14.99896125,14.906229583333333,14.644096249999999,8.601197916666667,13.076944166666665,15.07446375,13.944239166666668,16.808785833333335,13.965595,16.94441482101679
2035-06-07,14.877135416666667,15.443060833333334,13.6425,8.694132916666666,12.192235833333333,15.679458333333335,13.941435416666666,16.509365833333334,14.367615833333334,16.965689443409286
2035-06-08,13.482057500000002,15.37462625,11.740847083333334,9.243769583333334,11.295385000000001,12.562959583333333,13.242749166666668,15.38122625,14.812772500000001,17.385036640561406
2035-06-09,10.717730416666667,15.384390416666667,10.798420833333333,6.833597083333333,11.0697675,11.811270416666666,12.008841666666667,13.713043749999999,15.30663,16.784390878135675
2035-06-10,9.6081275,16.24538375,9.365400833333334,4.242723333333333,12.202096666666668,10.734318333333334,11.738268750000001,13.902711250000001,16.062619583333333,15.307996154853162
2035-06-11,10.81240625,17.7666575,11.670868333333333,5.3258237500000005,10.656120416666667,12.298357083333334,12.711554166666666,11.289787083333332,17.301323749999998,14.862739095686907
2035-06-12,12.627526666666666,18.16369125,11.542097499999999,8.889431666666667,10.22566,12.721876666666667,12.762764583333334,11.824653750000001,16.22995375,16.620122342133563
2035-06-13,13.460477083333332,16.60215375,11.514296250000001,8.78896125,11.004596666666666,12.281609583333333,12.929950416666665,12.688182916666667,16.295832083333334,18.090929757936433
2035-06-14,13.519910000000001,16.783325,13.04626375,8.36840875,12.3666125,13.236962083333333,13.129760416666665,12.695027916666668,17.55226791666667,18.798785483773287
2035-06-15,13.983697916666666,18.7703475,13.222708333333335,8.10074,12.590456666666666,14.018535833333333,13.257676666666667,13.586170833333334,20.337815,17.327080441780804
2035-06-16,13.749439583333334,20.350719166666668,13.450457916666666,8.233755416666666,12.391071666666667,13.8495025,14.049293749999999,13.610047083333333,23.183595,17.679488438717225
2035-06-17,13.04306625,19.597481666666667,12.88401125,7.140477916666668,13.8916775,13.862850833333333,13.171675833333333,15.337342916666666,24.2029375,17.141493042852314
2035-06-18,15.750990833333333,18.57443375,14.9671675,8.610920416666668,14.961234583333335,16.289165416666666,12.964051249999999,17.686116666666667,22.974082499999998,15.846537829793279
2035-06-19,16.976655,20.57096125,17.09034958333333,8.086939166666665,15.68859125,18.003654583333333,14.83513625,18.596689166666668,23.462002083333335,16.5411957641992
2035-06-20,17.02658125,20.75315875,16.074555416666666,10.261881666666666,17.48032458333333,18.001074166666665,16.063324583333333,19.27713375,23.139855833333332,18.887283245635963
2035-06-21,17.838267916666666,21.179164166666666,16.335535,11.187157916666665,17.23967958333333,17.6115375,16.569512916666667,19.271736666666666,19.94945,19.905020173253746
2035-06-22,18.60599625,20.706657083333333,17.35378916666667,12.835839166666666,16.2693375,18.226704583333333,17.5762225,18.652115833333333,18.242609583333333,21.18060172017556
2035-06-23,18.76660375,19.324384166666665,18.445003333333332,13.524090416666667,16.135620833333334,18.784710416666666,18.50359333333333,18.103034583333333,16.930542916666667,22.173018281543445
2035-06-24,19.754245,17.0064225,19.282198333333334,14.427988333333333,16.245784166666667,19.568588333333334,18.189598333333333,17.034577916666667,17.021026250000002,22.986569491639045
2035-06-25,20.089213750000003,18.225867083333334,19.630592916666668,13.70945125,16.67767458333333,19.891704166666667,17.407307083333333,16.92986,18.222048333333333,21.57399016803267
2035-06-26,19.185772083333333,20.536598333333334,18.364710416666668,12.873543333333332,17.21778375,19.1332975,17.48600375,17.23463166666667,18.851385833333335,20.657604439894985
2035-06-27,19.428094583333333,21.032883333333334,18.717525416666668,14.433195833333334,17.756418749999998,19.18233,19.04791625,17.121196666666666,17.960907083333336,21.48748544030374
2035-06-28,20.491520416666667,19.5149525,19.489649166666666,16.050338333333332,16.750120416666665,19.80094625,18.87513125,16.10662375,18.143271666666667,22.293205465572463
2035-06-29,19.189288333333334,20.09066,17.303507083333333,14.119321249999999,15.844735416666666,17.588087916666666,18.50635375,15.118431666666666,18.75095,22.403999016226454
2035-06-30,18.379797916666668,23.785412500000003,18.963089583333332,15.336172083333333,16.150525833333333,18.804937916666667,20.431115000000002,16.200802083333333,21.780113333333333,23.21128100561591
2035-07-01,19.872026666666667,20.62295375,21.51796625,16.841718750000002,18.83395666666667,21.731809166666665,21.848433749999998,17.775667083333335,17.519103333333334,22.160063368689958
2035-07-02,22.15899416666667,20.00102125,23.646652500000002,19.03901958333333,19.348801249999998,23.09191375,21.9764625,17.610190416666665,16.60557875,22.847148789549095
2035-07-03,24.044305416666663,19.517400833333333,23.439140416666664,19.801812916666666,19.4151575,23.131485416666667,22.626420416666665,17.254952916666667,15.986619166666665,23.937762833554114
2035-07-04,25.175591666666666,20.1231925,23.25209375,20.878295833333333,19.936451666666667,22.817535000000003,22.15430333333333,18.144238333333334,17.505805833333334,24.89683539922031
2035-07-05,24.928248749999998,20.616363333333336,22.969018333333334,19.656222916666668,19.207482083333336,22.63668416666667,21.127424583333333,17.767524166666668,18.26779625,25.64212106409535
2035-07-06,22.26012833333333,21.742449166666663,18.661416666666668,17.858758333333334,17.963279583333335,19.665855,18.286682916666667,15.957325833333334,20.49715541666667,25.657824168690283
2035-07-07,17.558342916666668,23.323159583333332,16.792854583333334,14.453372916666666,16.536197916666666,17.56429625,18.184091666666667,15.40554625,21.06445,24.699857730425745
2035-07-08,19.826715833333335,24.061390833333334,18.2194125,17.19191375,15.6362175,19.209564166666667,20.265010416666666,14.891266666666667,20.610847916666668,24.650281223486417
2035-07-09,20.302156666666665,25.83439375,16.557280000000002,19.126771666666667,15.161266249999999,16.927623333333333,20.609299166666666,15.5592325,22.134387083333333,25.75787685706731
2035-07-10,17.816499583333336,26.53519,16.230138333333333,17.988859583333333,15.74427625,17.817291666666666,20.099558333333334,15.55801125,21.54890625,26.323840594963674
2035-07-11,16.99008625,23.89481375,16.981415416666668,13.852671666666666,16.255974166666665,17.669433333333334,18.133078333333334,16.111679583333334,21.4890075,25.65957669241616
2035-07-12,16.555746666666668,22.65214875,16.437730416666668,13.0180275,15.689253333333333,17.337235,17.71195375,15.2985475,19.659766666666666,23.308683543035777
2035-07-13,17.868345,20.62793458333333,16.811575,13.869336666666667,14.490195833333333,17.807288333333332,17.414566666666666,14.873385416666666,18.227598333333333,22.98470903094661
2035-07-14,17.683127083333336,21.522247083333337,15.2507625,13.9359025,14.602966666666667,17.218372916666667,16.449087083333335,15.713991666666667,18.361070833333333,22.803393183148184
