 167   6.44652076e+04  6.44651986e+04  2.71e-05 5.73e-09  9.35e-09   458s
 168   6.44652067e+04  6.44651986e+04  2.58e-05 5.39e-09  8.31e-09   460s
 169   6.44652056e+04  6.44651993e+04  1.90e-05 1.22e-09  6.48e-09   462s
 170   6.44652050e+04  6.44651994e+04  7.59e-06 1.00e-09  5.75e-09   466s
 171   6.44652047e+04  6.44651995e+04  1.09e-05 3.13e-09  5.39e-09   469s
 172   6.44652039e+04  6.44651995e+04  8.70e-06 3.16e-09  4.63e-09   471s
 173   6.44652033e+04  6.44651995e+04  8.24e-06 1.55e-09  3.93e-09   474s
 174   6.44652030e+04  6.44651996e+04  7.76e-06 1.50e-09  3.52e-09   477s
 175   6.44652028e+04  6.44651996e+04  1.03e-05 2.19e-09  3.30e-09   480s
 176   6.44652023e+04  6.44651997e+04  2.27e-05 3.28e-09  2.74e-09   482s
 177   6.44652020e+04  6.44651997e+04  2.59e-05 2.98e-10  2.32e-09   485s
 178   6.44652012e+04  6.44651997e+04  1.49e-05 1.75e-10  1.48e-09   487s
 179   6.44652009e+04  6.44651998e+04  1.30e-05 2.41e-09  1.19e-09   491s
 180   6.44652004e+04  6.44651998e+04  7.81e-06 1.61e-08  5.88e-10   493s
 181   6.44652000e+04  6.44651998e+04  1.86e-06 5.99e-09  1.24e-10   496s

Barrier solved model in 181 iterations and 495.60 seconds (326.75 work units)
Optimal objective 6.44652000e+04

