,BE,CH,DE,ES,IT,UK,IE,NL,PT
2022-08-17,8607.280573585569,6344.865234788039,51785.70029378975,25330.237086060413,27520.833351036497,22996.817748397094,3634.2202985331487,12225.415461172423,5753.339635633476
2022-08-18,8639.066365439296,6287.330407531435,51737.42039818764,25292.20587075082,27515.060916320006,22905.28353982698,3636.620180826393,12266.129745014168,5763.915351704925
2022-08-19,8506.81920175267,6194.927521932731,50307.678788904996,24970.558647862203,26779.985108428984,22303.274964480966,3581.821653826265,12070.458259773972,5691.393210830292
2022-08-20,7568.195595409486,5726.597482601192,42206.36161330222,21614.053266977575,20834.724410828865,19517.737720632074,3322.391586128527,10689.891261440702,4945.513930883861
2022-08-21,7799.101335696823,5904.846614700368,40577.3739867943,20955.534782187417,20581.12237903544,19631.474777869553,3309.4987639138794,10726.641508107463,4604.7825039282625
2022-08-22,8968.542278133325,6461.351002803587,51621.4702995841,25192.187818550305,28277.355995621787,23101.495643728085,3639.8622947573863,12471.564617850267,5447.219504329422
2022-08-23,9113.587895124332,6511.101762485642,52633.618587317884,25995.323870845234,29820.54203846297,23570.771822585106,3700.9463348187332,12621.795634429312,5639.733787542444
2022-08-24,9110.60778360314,6526.218343739911,52830.001546223546,26100.23210071766,29992.650576494023,23524.477151388935,3712.1782963433657,12654.638854445819,5683.065030340323
2022-08-25,9142.393575456867,6468.683516483307,52781.72165062144,26062.200885408067,29986.87814177753,23432.942942818823,3714.57817863661,12695.353138287564,5693.640746411772
2022-08-26,9010.146411770242,6376.280630884603,51351.98004133879,25740.55366251945,29251.80233388651,23244.85671322717,3659.779651636482,12499.681653047368,5621.118605537139
2022-08-27,8071.522805427056,5907.9505915530635,43250.66286573602,22384.048281634823,23306.54163628639,20045.397123623916,3400.3495839387438,11119.114654714098,4875.239325590707
2022-08-28,7799.101335696823,5904.846614700368,40577.3739867943,20955.534782187417,20581.12237903544,18641.530340606492,3309.4987639138794,10726.641508107463,4604.7825039282625
2022-08-29,8968.542278133325,6461.351002803587,51621.4702995841,25192.187818550305,28277.355995621787,19631.474777869553,3639.8622947573863,12471.564617850267,5447.219504329422
2022-08-30,9113.587895124332,6511.101762485642,52633.618587317884,25995.323870845234,29820.54203846297,23570.771822585106,3700.9463348187332,12621.795634429312,5639.733787542444
2022-08-31,9110.60778360314,6526.218343739911,52830.001546223546,26100.23210071766,29992.650576494023,23524.477151388935,3712.1782963433657,12654.638854445819,5683.065030340323
2022-09-01,9208.864814678867,6623.944298635521,53787.94949984221,26764.96274968653,33184.16992439777,24513.92923206173,3770.762468571945,13007.022247210181,5989.297072435071
2022-09-02,9076.617650992242,6531.541413036816,52358.20789055956,26443.315526797913,32449.09411650675,23911.920656715716,3715.9639415718175,12811.350761969985,5916.774931560438
2022-09-03,8137.994044649056,6063.211373705277,44256.89071495679,23086.81014591328,26503.833418906634,21126.383412866824,3456.5338738740793,11430.783763636715,5170.895651614005
2022-09-04,7865.572574918824,6060.107396852582,41583.60183601507,21658.29664646588,23778.414161655684,20712.46106711246,3365.683053849215,11038.31061703008,4900.438829951561
2022-09-05,9035.013517355326,6616.6117849558,52627.69814880487,25894.949682828767,31474.647778242026,24182.481932970994,3696.0465846927214,12783.233726772884,5742.875830352721
2022-09-06,9180.059134346333,6666.3625446378555,53639.84643653865,26698.085735123695,33017.83382108321,24651.758111828014,3757.130624754069,12933.46474335193,5935.3901135657425
2022-09-07,9177.07902282514,6681.479125892124,53836.22939544431,26802.993964996123,33189.94235911426,24605.463440631844,3768.3625862787007,12966.307963368436,5978.721356363621
2022-09-08,9208.864814678867,6623.944298635521,53787.94949984221,26764.96274968653,33184.16992439777,24513.92923206173,3770.762468571945,13007.022247210181,5989.297072435071
2022-09-09,9076.617650992242,6531.541413036816,52358.20789055956,26443.315526797913,32449.09411650675,23911.920656715716,3715.9639415718175,12811.350761969985,5916.774931560438
2022-09-10,8137.994044649056,6063.211373705277,44256.89071495679,23086.81014591328,26503.833418906634,21126.383412866824,3456.5338738740793,11430.783763636715,5170.895651614005
2022-09-11,7865.572574918824,6060.107396852582,41583.60183601507,21658.29664646588,23778.414161655684,20712.46106711246,3365.683053849215,11038.31061703008,4900.438829951561
